L_tube,D_int,D_ext,N_p,DP_t,DP_t_kPa,D_s,D_s_mm,N_tt,U_o_calc,valid
1.5,0.012,0.018,8,14417.2149612092,14.4172149612092,0.283491079648534,283.491079648534,26.6315050681518,6.76172272286002,0
1.5,0.012,0.02,2,333.766237667609,0.333766237667609,0.290319425123927,290.319425123927,24.6707451890726,5.40001593861582,1
1.5,0.012,0.02,4,2329.79724333148,2.32979724333148,0.290319425123927,290.319425123927,24.6707451890726,6.0994059969148,1
1.5,0.012,0.02,6,7330.83236950444,7.33083236950444,0.290319425123927,290.319425123927,24.6707451890726,6.409715418013,0
1.5,0.012,0.02,8,16603.3938742067,16.6033938742067,0.290319425123927,290.319425123927,24.6707451890726,6.58958960508823,0
1.5,0.015,0.018,2,106.101754741024,0.106101754741024,0.283491079648534,283.491079648534,26.6315050681518,5.27485104011236,1
1.5,0.015,0.018,4,740.276859960749,0.740276859960749,0.283491079648534,283.491079648534,26.6315050681518,6.07607837891045,1
1.5,0.015,0.018,6,2328.69722920764,2.32869722920764,0.283491079648534,283.491079648534,26.6315050681518,6.44183032131833,1
1.5,0.015,0.018,8,5273.22800395165,5.27322800395165,0.283491079648534,283.491079648534,26.6315050681518,6.65682794691951,1
1.5,0.015,0.02,2,121.658732638532,0.121658732638532,0.290319425123927,290.319425123927,24.6707451890726,5.15385126504698,1
1.5,0.015,0.02,4,850.792515365058,0.850792515365058,0.290319425123927,290.319425123927,24.6707451890726,5.92960222691139,1
1.5,0.015,0.02,6,2679.88706690337,2.67988706690337,0.290319425123927,290.319425123927,24.6707451890726,6.2831082209239,1
1.5,0.015,0.02,8,6073.99944988438,6.07399944988438,0.290319425123927,290.319425123927,24.6707451890726,6.49072748852848,1
1.5,0.018,0.02,2,53.5904198865364,0.0535904198865364,0.290319425123927,290.319425123927,24.6707451890726,4.93134372989939,1
1.5,0.018,0.02,4,375.585303463876,0.375585303463876,0.290319425123927,290.319425123927,24.6707451890726,5.76654430816104,1
1.5,0.018,0.02,6,1184.49981081629,1.18449981081629,0.290319425123927,290.319425123927,24.6707451890726,6.15628526495414,1
1.5,0.018,0.02,8,2686.94889759078,2.68694889759078,0.290319425123927,290.319425123927,24.6707451890726,6.38793065635003,1
2,0.008,0.012,2,2411.54905676388,2.41154905676388,0.231293649781316,231.293649781316,26.2269585184554,6.241308013992,1
2,0.008,0.012,4,16653.8348299499,16.6538348299499,0.231293649781316,231.293649781316,26.2269585184554,6.71822424854571,0
2,0.008,0.012,6,52080.3524275248,52.0803524275248,0.231293649781316,231.293649781316,26.2269585184554,6.9157564861966,0
2,0.008,0.012,8,117453.69511177,117.45369511177,0.231293649781316,231.293649781316,26.2269585184554,7.02660557328608,0
