l_f,l_f_mm,p_f,p_f_mm,t_f,t_f_mm,DP_t,DP_t_kPa,D_s,D_s_mm,N_tt,U_o_calc,eta_f,valid
0.006,6,0.0025,2.5,0.0005,0.5,234.395660303017,0.234395660303017,0.207725068116337,207.725068116337,14.4122109345898,5.11787532730417,0.998483253041292,1
0.006,6,0.0025,2.5,0.0007,0.7,237.259071236349,0.237259071236349,0.207129059234986,207.129059234986,14.3142229095115,4.89076486187254,0.998976176297598,1
0.006,6,0.0025,2.5,0.001,1,241.669798543877,0.241669798543877,0.206228974556245,206.228974556245,14.16687623577,4.60793882892637,0.999333991017742,1
0.006,6,0.003,3,0.0003,0.3,175.75779270481,0.17575779270481,0.222501538379968,222.501538379968,16.9484331758843,5.53034950854514,0.997241224183263,1
0.006,6,0.003,3,0.0005,0.5,177.819964224885,0.177819964224885,0.221878090893255,221.878090893255,16.8372738654018,5.23093012940578,0.99845638027908,1
0.006,6,0.003,3,0.0007,0.7,179.926474615489,0.179926474615489,0.221250839203881,221.250839203881,16.7258053576299,5.01542524665167,0.998953482282379,1
0.006,6,0.003,3,0.001,1,183.170516398946,0.183170516398946,0.220303251998908,220.303251998908,16.5581123026139,4.75715780252868,0.999313447366488,1
0.006,6,0.0035,3.5,0.0003,0.3,140.161603853565,0.140161603853565,0.235033631690214,235.033631690214,19.2604421434589,5.61964484425538,0.997208167727168,1
0.006,6,0.0035,3.5,0.0005,0.5,141.758294598561,0.141758294598561,0.234386170763001,234.386170763001,19.1373738110511,5.32460261772834,0.998434041633683,1
0.006,6,0.0035,3.5,0.0007,0.7,143.389035041605,0.143389035041605,0.233734592645963,233.734592645963,19.0139211058998,5.116248988112,0.998935315785871,1
0.006,6,0.0035,3.5,0.001,1,145.899843114648,0.145899843114648,0.232749940007239,232.749940007239,18.8281196715189,4.87287318433068,0.999297867682154,1
0.006,6,0.004,4,0.0003,0.3,115.855096365541,0.115855096365541,0.246252697646942,246.252697646942,21.4555782089333,5.69798864852988,0.997178365329906,1
0.006,6,0.004,4,0.0005,0.5,117.138018589521,0.117138018589521,0.245586527434497,245.586527434497,21.3219271346271,5.40550494321276,0.998414528851843,1
0.006,6,0.004,4,0.0007,0.7,118.448092277818,0.118448092277818,0.244915958353423,244.915958353423,21.1878152490943,5.20182168099846,0.998919897000655,1
0.006,6,0.004,4,0.001,1,120.464776796222,0.120464776796222,0.243902298246175,243.902298246175,20.9858893460405,4.96824454513714,0.999285169296227,1
0.008,8,0.002,2,0.0003,0.3,589.469570266754,0.589469570266754,0.184908970981947,184.908970981947,8.61203039543203,4.79265359019688,0.995715571516498,1
0.008,8,0.002,2,0.0005,0.5,596.559694485965,0.596559694485965,0.184404991822192,184.404991822192,8.55509422068369,4.50313769421375,0.997623815483921,1
0.008,8,0.002,2,0.0007,0.7,603.775869224064,0.603775869224064,0.183899930832458,183.899930832458,8.49822527052368,4.27841850720166,0.998407672795625,1
0.008,8,0.002,2,0.001,1,614.839557420155,0.614839557420155,0.183140525600222,183.140525600222,8.41307456934925,3.97920255577947,0.998980494418137,1
0.008,8,0.0025,2.5,0.0003,0.3,409.179660437866,0.409179660437866,0.201174185646354,201.174185646354,10.5509553645674,4.90852678604004,0.995649391208115,1
0.008,8,0.0025,2.5,0.0005,0.5,413.979059898916,0.413979059898916,0.200627390357855,200.627390357855,10.4825787113774,4.63157064888392,0.997572659557311,1
0.008,8,0.0025,2.5,0.0007,0.7,418.862975370779,0.418862975370779,0.200079313302402,200.079313302402,10.4142648378056,4.42574042003632,0.998361086928881,1
0.008,8,0.0025,2.5,0.001,1,426.34933698334,0.42634933698334,0.199255026659175,199.255026659175,10.311943926717,4.1688508086908,0.998933760777707,1
0.008,8,0.003,3,0.0003,0.3,305.844730913855,0.305844730913855,0.215446048080734,215.446048080734,12.414265870497,4.99943929358306,0.995597471763531,1
